session_id,endtime,gender,age,residence,ethnicity,ethnicity_rec,device
157706,2025-05-06T18:44:35Z,male,47,ES,white,White,laptop
157708,2025-05-06T18:38:05Z,female,28,ZA,black,Black,phone
157709,2025-05-06T18:51:34Z,male,35,ZA,black,Black,laptop
157710,2025-05-06T19:17:27Z,male,23,ZA,black,Black,laptop
157714,2025-05-06T18:38:33Z,female,25,ZA,black,Black,phone
157716,2025-05-06T18:44:53Z,female,30,ZA,black,Black,phone
157718,2025-05-06T18:39:12Z,male,39,US,samoan,Indigenous / Pacific Islander,desktop
157719,2025-05-06T18:45:06Z,female,23,US,latina,Latine,phone
157720,2025-05-06T18:44:06Z,male,23,US,mix,Mixed,laptop
157723,2025-05-06T18:54:49Z,female,30,ZA,black african,Black,phone
157724,2025-05-06T18:42:07Z,male,21,IN,asian,Asian,laptop
157725,2025-05-06T18:42:38Z,male,24,PT,white,White,laptop
157726,2025-05-06T18:41:41Z,female,34,IN,asian,Asian,laptop
157727,2025-05-06T18:43:15Z,female,37,GB,white british,White,laptop
157728,2025-05-06T18:40:06Z,female,26,GB,white british,White,phone
157729,2025-05-06T18:47:36Z,female,30,ZA,race,Ambiguous label,laptop
157730,2025-05-06T18:54:18Z,male,27,KE,black,Black,laptop
157731,2025-05-06T18:45:52Z,male,33,US,hispanic,Latine,phone
157733,2025-05-06T18:49:48Z,male,21,ZA,black,Black,desktop
157735,2025-05-06T18:47:44Z,female,26,US,black,Black,desktop
157736,2025-05-06T18:48:55Z,female,34,CL,caucasian,White,laptop
157737,2025-05-06T18:45:39Z,male,36,ZA,black,Black,laptop
157738,2025-05-06T18:54:59Z,female,28,GB,black,Black,laptop
157739,2025-05-06T18:54:32Z,male,32,US,hispanic,Latine,laptop
157740,2025-05-06T18:51:08Z,female,48,CH,white,White,laptop
157741,2025-05-06T18:43:36Z,female,34,ES,white,White,desktop
157742,2025-05-06T18:48:27Z,female,22,ZA,black,Black,desktop
157744,2025-05-06T18:46:43Z,male,20,GB,black/african,Black,laptop
157746,2025-05-06T18:49:36Z,female,50,GB,white british,White,desktop
157747,2025-05-06T18:53:55Z,female,37,US,white,White,laptop
157748,2025-05-06T18:59:22Z,female,48,ZA,black,Black,desktop
157749,2025-05-06T18:48:52Z,male,26,PL,polish,White,laptop
157750,2025-05-06T18:45:30Z,female,31,ZA,black,Black,phone
157751,2025-05-06T18:46:07Z,male,28,CL,latino,Latine,laptop
157752,2025-05-06T18:44:41Z,male,68,US,white,White,laptop
157753,2025-05-06T19:03:42Z,male,23,GB,white other - romanian,White,laptop
157754,2025-05-06T18:50:08Z,female,49,GB,white,White,laptop
157755,2025-05-06T19:09:11Z,male,32,US,white,White,laptop
157756,2025-05-06T18:48:29Z,male,51,US,white,White,laptop
